datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,dewpt
2020-11-25 01:00:00,3952.03,300.41,101.45,1.68,158.31,304.62,376.39,72.96,0.5,-10.1
2020-11-25 02:00:00,3417.97,268.22,90.48,3.76,120.16,253.04,319.2,55.73,3.5,-10.3
2020-11-25 03:00:00,2429.96,191.33,77.46,5.54,95.37,168.37,222.92,40.53,5.7,-10.1
2020-11-25 04:00:00,674.25,24.36,54.15,33.62,55.31,38.98,55.29,16.72,6.2,-10.2
2020-11-25 05:00:00,554.09,14.75,49.35,44.35,49.59,30.44,43.5,12.79,6.8,-10.4
2020-11-25 06:00:00,540.73,12.52,53.47,43.63,51.98,28.64,40.75,11.27,7.4,-10.9
2020-11-25 07:00:00,1081.47,50.96,86.37,13.59,76.29,62.73,82.97,14.19,7.3,-10.8
2020-11-25 08:00:00,1922.61,137.69,106.93,1.65,100.14,120.32,153.59,19.25,5.6,-7.7
2020-11-25 09:00:00,2696.99,232.46,120.64,0.1,114.44,171.5,214.55,23.81,3.4,-7.3
2020-11-25 10:00:00,3257.75,300.41,130.24,0.0,120.16,208.07,257.16,27.87,2.8,-6.6
2020-11-25 11:00:00,3471.37,293.26,123.38,0.0,115.4,233.12,289.19,29.89,3.2,-8.0
2020-11-25 12:00:00,3685.0,278.95,113.79,0.0,113.49,258.49,325.73,31.16,3.0,-10.9
2020-11-25 13:00:00,3845.22,261.07,106.93,0.0,107.77,278.33,354.89,31.67,1.9,-10.9
2020-11-25 14:00:00,3898.62,246.76,105.56,0.0,98.23,288.42,371.48,32.42,1.3,-10.7
2020-11-25 15:00:00,3524.78,227.09,105.56,0.0,89.65,262.5,342.74,34.96,0.7,-9.9
2020-11-25 16:00:00,2830.51,196.7,102.82,0.0,79.16,201.87,270.91,36.99,0.2,-9.3
2020-11-25 17:00:00,2349.85,168.09,95.96,0.0,71.53,163.98,222.76,36.99,0.1,-9.1
2020-11-25 18:00:00,2136.23,146.63,89.11,0.0,74.39,150.46,203.18,38.51,-0.4,-8.8
2020-11-25 19:00:00,2056.12,134.11,82.94,0.0,82.02,147.12,197.5,41.54,-1.1,-8.7
2020-11-25 20:00:00,1976.01,121.59,79.51,0.0,88.69,144.72,193.71,45.09,-2.5,-8.5
2020-11-25 21:00:00,1895.9,116.23,76.77,0.0,97.28,142.44,190.03,49.14,-2.9,-8.7
2020-11-25 22:00:00,1976.01,121.59,75.4,0.0,108.72,148.9,194.62,53.2,-3.1,-8.6
2020-11-25 23:00:00,3017.43,187.76,80.2,0.0,156.4,237.93,293.89,57.76,-3.4,-8.5
2020-11-26 00:00:00,5073.55,346.9,97.33,0.05,228.88,404.36,480.8,64.34,-1.0,-6.2
2020-11-26 01:00:00,7156.37,500.68,119.27,0.66,278.47,567.01,659.27,67.89,1.4,-7.9
2020-11-26 02:00:00,7797.24,536.44,128.87,2.1,247.96,620.89,714.07,59.28,2.7,-8.3
2020-11-26 03:00:00,7049.56,472.07,127.49,3.58,228.88,547.77,628.84,52.69,3.7,-8.4
2020-11-26 04:00:00,1869.2,116.23,83.63,8.58,194.55,127.54,153.87,22.55,4.5,-8.5
2020-11-26 05:00:00,1268.39,71.53,76.08,10.1,169.75,76.72,97.22,12.92,5.1,-8.5
2020-11-26 06:00:00,1134.87,62.59,75.4,7.51,158.31,64.21,84.47,10.01,5.2,-8.5
2020-11-26 07:00:00,1588.82,103.71,81.57,3.04,169.75,94.79,122.27,11.15,4.9,-8.2
2020-11-26 08:00:00,2696.99,205.64,97.33,0.62,192.64,174.99,219.7,15.2,4.3,-7.5
2020-11-26 09:00:00,3845.22,325.44,113.79,0.03,196.46,251.75,315.08,18.75,1.6,-6.2
2020-11-26 10:00:00,4966.74,443.46,124.75,0.0,200.27,331.51,412.55,22.04,2.0,-6.3
2020-11-26 11:00:00,6195.07,514.98,127.49,0.0,207.9,424.4,523.13,24.32,0.8,-6.0
2020-11-26 12:00:00,7476.81,543.59,127.49,0.0,225.07,521.24,638.59,23.31,-0.2,-5.5
2020-11-26 13:00:00,8651.73,557.9,132.98,0.0,320.44,604.79,740.77,28.63,-1.3,-5.1
2020-11-26 14:00:00,9719.85,593.66,149.43,0.0,419.62,719.57,881.62,39.01,0.2,-5.3
2020-11-26 16:00:00,8865.36,586.51,175.48,0.0,385.28,723.2,892.71,59.28,-3.2,-6.3
2020-11-26 17:00:00,6835.94,479.22,157.65,0.0,293.73,567.29,716.31,65.86,-3.2,-6.6
2020-11-26 18:00:00,4859.92,354.05,131.61,0.0,205.99,404.35,525.43,68.9,-2.5,-7.4
2020-11-26 19:00:00,3231.05,236.03,105.56,0.0,127.79,262.17,350.65,63.84,-1.8,-10.1
2020-11-26 20:00:00,2189.64,151.99,93.22,0.0,86.78,170.7,228.47,54.72,-1.6,-11.4
2020-11-26 21:00:00,1588.82,87.62,93.22,0.0,66.76,117.31,151.39,44.08,-1.6,-12.0
2020-11-26 22:00:00,961.3,29.95,87.05,0.04,52.45,65.18,82.86,29.89,-1.7,-12.2
2020-11-26 23:00:00,934.6,26.38,73.34,0.08,57.7,60.53,76.15,23.56,-1.9,-12.2
2020-11-27 00:00:00,1108.17,45.6,73.34,0.24,67.71,68.52,86.66,21.53,-1.5,-11.6
2020-11-27 01:00:00,1174.93,59.01,72.66,5.41,74.39,69.87,90.04,20.27,0.7,-11.3
2020-11-27 02:00:00,1054.76,51.86,62.38,15.56,70.57,58.64,78.52,17.23,2.2,-11.6
2020-11-27 03:00:00,774.38,33.98,47.98,27.54,62.94,37.41,53.06,13.43,3.1,-11.8
2020-11-27 04:00:00,433.92,12.07,26.73,49.35,38.15,13.86,20.7,8.04,3.9,-11.9
2020-11-27 05:00:00,420.57,11.4,26.39,51.5,38.62,13.02,18.59,6.84,4.7,-12.2
2020-11-27 06:00:00,440.6,12.18,31.19,48.64,43.39,14.32,20.01,6.21,5.2,-12.5
2020-11-27 07:00:00,527.38,16.32,43.18,36.84,57.7,19.38,26.51,6.21,5.5,-12.9
2020-11-27 08:00:00,654.22,21.68,63.06,17.17,73.43,27.18,36.86,7.22,4.6,-11.7
2020-11-27 09:00:00,747.68,26.82,79.51,1.88,74.39,31.98,43.28,7.92,2.0,-12.6
2020-11-27 10:00:00,834.47,35.76,83.63,0.02,69.62,37.27,50.08,8.87,1.3,-13.4
2020-11-27 11:00:00,934.6,35.76,83.63,0.02,64.85,46.31,61.91,10.13,0.0,-13.4
2020-11-27 12:00:00,961.3,27.27,78.14,0.09,58.17,49.92,67.16,10.89,-1.5,-12.6
2020-11-27 13:00:00,807.76,13.41,64.43,1.19,47.68,40.13,55.96,10.13,-1.4,-13.3
2020-11-27 14:00:00,720.98,5.09,55.52,5.81,42.44,34.72,49.03,10.13,-1.9,-13.8
2020-11-27 15:00:00,634.19,1.98,52.09,13.05,36.72,27.82,40.98,10.26,-2.7,-14.0
2020-11-27 16:00:00,527.38,0.87,49.35,19.67,31.47,19.31,30.49,10.39,-3.0,-14.0
2020-11-27 17:00:00,423.91,0.17,38.39,31.83,25.27,12.23,20.73,10.13,-2.7,-14.5
2020-11-27 18:00:00,363.83,0.05,29.47,41.49,22.65,8.88,14.94,9.63,-2.9,-14.7
2020-11-27 19:00:00,413.9,0.19,33.93,34.69,24.56,13.29,19.12,10.51,-2.9,-15.0
2020-11-27 20:00:00,527.38,1.2,45.93,17.52,31.47,22.76,30.16,12.79,-3.8,-15.1
2020-11-27 21:00:00,654.22,6.93,54.15,4.2,41.96,33.73,43.29,15.45,-3.8,-15.3
2020-11-27 22:00:00,867.84,24.81,54.15,0.21,56.27,51.42,64.36,19.0,-3.2,-15.8
